algorithm,dataset,main_accuracy,shadow_accuracy,attack_accuracy
BWL,bcw,96.49,95.61,
Vanilla_VFL,bcw,96.49,,
Passive_LIA,bcw,97.37,,93.86
Passive_LIA,cifar10,76.19,,63.28
Passive_LIA,cinic10,63.75,,57.54
Active_LIA,bcw,95.61,,40.35
BWL,cifar10,72.95,70.84,
Vanilla_VFL,cifar10,76.13,,
BWL,cinic10,64.15,62.52,
Vanilla_VFL,cinic10,65.9,,
Active_LIA,cifar10,75.74,,63.72
Active_LIA,cinic10,64.45,,55.26
Direct_LIA,bcw,95.61,,100.0
Direct_LIA,cifar10,63.59,,100.0
Direct_LIA,cinic10,47.44,,100.0
Passive_LIA_on_BWL,bcw,97.37,97.37,69.3
Passive_LIA_on_BWL,cifar10,73.8,70.77,72.34
Passive_LIA_on_BWL,cinic10,62.16,60.67,62.74
Active_LIA_on_BWL,bcw,95.61,96.49,4.39
Active_LIA_on_BWL,cifar10,73.03,71.06,71.48
Active_LIA_on_BWL,cinic10,63.22,61.35,62.47
Direct_LIA_w_BWL_Defense,bcw,77.19,,54.07
Direct_LIA_w_BWL_Defense,cifar10,77.23,,52.97
Direct_LIA_w_BWL_Defense,cinic10,64.01,N/A,60.31
